detecte_le,score,titre,entreprise,ville,source,publiee_le,url
2026-07-08 17:37,0,Développeur Java IA (H/F),SII Group Switzerland,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437819084
2026-07-08 17:37,0,Développeur Java IA (H/F),SII Czech Republic,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4434547842
2026-07-08 17:37,0,Développeur Java IA (H/F),SII Group UK,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4434554213
2026-07-08 17:37,0,Développeur Java IA (H/F),SII Germany,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437841255
2026-07-08 17:37,0,STAGE Ingénieur(e) en ingénierie systèmes pour l’agriculture H/F,CEA,"Quimper, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4325847115
2026-07-08 17:37,0,Ingénieur Automatisation de Tests (H/F),SII Czech Republic,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4434551401
2026-07-08 17:37,0,Ingénieur Automatisation de Tests (H/F),SII Group UK,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4434544800
2026-07-08 17:37,0,Développeur Fullstack (H/F),SII Group Switzerland,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437810561
2026-07-08 17:37,0,Ingénieur Automatisation de Tests (H/F),SII Germany,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437836419
2026-07-08 17:37,0,Développeur Java (H/F),ALTEN,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4436802399
2026-07-08 17:37,0,Chef/fe de projet IT - Défense & Sécurité - BREST,Sopra Steria,"Guipavas, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437814219
2026-07-08 17:37,0,Cheffe / Chef de projet technique,Capgemini,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4424745895
2026-07-08 17:37,0,Responsable d'équipe logistique junior,Amazon,"Briec, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4363704767
2026-07-08 17:37,0,Gestionnaire service client F/H,Petit Navire,"Douarnenez, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4434554383
2026-07-08 17:37,0,"Enseignant-chercheur en traitement numérique du signal et de limage, acquisition et analyse de données - Campus de Brest - H/F",ISEN Ouest (Yncréa),"Brest, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4433934747
2026-07-08 17:37,0,Expert Business Process Management (BPM) H/F,Crédit Mutuel Arkéa,"Le Relecq-Kerhuon, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4424191561
2026-07-08 17:37,0,Assistant(e) qualité en alternance (F/H),Clinique Mutualiste de Bretagne Occidentale,"Quimper, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4436080562
2026-07-08 17:37,0,"Employée, employé de caisse accueil",Monoprix,"Quimper, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4436095989
2026-07-08 17:37,0,Analyste financier d'entreprises H/F,Banque de France,"Brest, Brittany, France",linkedin,2026-07-05,https://www.linkedin.com/jobs/view/4432262201
2026-07-08 17:37,0,Ingénieur IA - Cyber & Data,NEVERHACK,"Brest, Brittany, France",linkedin,2026-07-03,https://www.linkedin.com/jobs/view/4433716415
2026-07-08 17:37,0,Conseiller Professionnel Junior (F/H),Banque Populaire Grand Ouest,"Brest, Brittany, France",linkedin,2026-07-03,https://www.linkedin.com/jobs/view/4433190206
2026-07-08 17:37,0,Chargé(e) Marketing et offres en alternance F/H,PIRIOU,"Concarneau, Brittany, France",linkedin,2026-07-03,https://www.linkedin.com/jobs/view/4436733671
2026-07-08 17:37,0,Stagiaire IA Calculs de Charges d’Eoliennes / AI Turbine Loads internship - (H/F),Siemens Gamesa,"Île-de-Sein, Brittany, France",linkedin,2026-07-02,https://www.linkedin.com/jobs/view/4426144046
2026-07-08 17:37,0,Alternant SI - Quimper (H/F),RATP Dev France-Suisse,"Quimper, Brittany, France",linkedin,2026-07-02,https://www.linkedin.com/jobs/view/4432780053
2026-07-08 17:37,0,Administrateur Google Workspace H/F,Extia,"Brest, Brittany, France",linkedin,2026-07-02,https://www.linkedin.com/jobs/view/4424645617
2026-07-08 17:37,0,CDI - Ingénieur IT poste de travail - H/F,NAVAL GROUP,"Brest, Brittany, France",linkedin,2026-07-02,https://www.linkedin.com/jobs/view/4406066109
2026-07-08 17:37,0,Intervenant sociojudiciaire,AGORA JUSTICE,"Quimper, Brittany, France",linkedin,2026-07-02,https://www.linkedin.com/jobs/view/4436301264
2026-07-08 17:37,0,Doctorant en informatique F/H,École Navale,"Lanvéoc, Brittany, France",linkedin,2026-07-01,https://www.linkedin.com/jobs/view/4434683057
